D:\DL\IMG\center_2024_03_10_20_24_03_743.jpg, D:\DL\IMG\left_2024_03_10_20_24_03_743.jpg, D:\DL\IMG\right_2024_03_10_20_24_03_743.jpg, 0, 0, 0, 7.815195E-05
D:\DL\IMG\center_2024_03_10_20_24_03_846.jpg, D:\DL\IMG\left_2024_03_10_20_24_03_846.jpg, D:\DL\IMG\right_2024_03_10_20_24_03_846.jpg, 0, 0, 0, 7.80867E-05
D:\DL\IMG\center_2024_03_10_20_24_03_966.jpg, D:\DL\IMG\left_2024_03_10_20_24_03_966.jpg, D:\DL\IMG\right_2024_03_10_20_24_03_966.jpg, 0, 0, 0, 7.82387E-05
D:\DL\IMG\center_2024_03_10_20_24_04_065.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_065.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_065.jpg, 0, 0, 0, 7.999163E-05
D:\DL\IMG\center_2024_03_10_20_24_04_168.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_168.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_168.jpg, 0, 0, 0, 7.836894E-05
D:\DL\IMG\center_2024_03_10_20_24_04_268.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_268.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_268.jpg, 0, 0, 0, 7.920743E-05
D:\DL\IMG\center_2024_03_10_20_24_04_370.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_370.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_370.jpg, 0, 0, 0, 7.955584E-05
D:\DL\IMG\center_2024_03_10_20_24_04_470.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_470.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_470.jpg, 0, 0, 0, 7.819512E-05
D:\DL\IMG\center_2024_03_10_20_24_04_571.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_571.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_571.jpg, 0, 0, 0, 7.83136E-05
D:\DL\IMG\center_2024_03_10_20_24_04_672.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_672.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_672.jpg, 0, 0, 0, 7.811205E-05
D:\DL\IMG\center_2024_03_10_20_24_04_773.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_773.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_773.jpg, 0, 0, 0, 7.910438E-05
D:\DL\IMG\center_2024_03_10_20_24_04_875.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_875.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_875.jpg, 0, 0, 0, 7.825406E-05
D:\DL\IMG\center_2024_03_10_20_24_04_975.jpg, D:\DL\IMG\left_2024_03_10_20_24_04_975.jpg, D:\DL\IMG\right_2024_03_10_20_24_04_975.jpg, 0, 0, 0, 7.822457E-05
D:\DL\IMG\center_2024_03_10_20_24_05_079.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_079.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_079.jpg, 0, 0.07435351, 0, 0.01128097
D:\DL\IMG\center_2024_03_10_20_24_05_180.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_180.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_180.jpg, 0, 0.3730626, 0, 0.3092482
D:\DL\IMG\center_2024_03_10_20_24_05_282.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_282.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_282.jpg, 0, 0.6735032, 0, 0.9589249
D:\DL\IMG\center_2024_03_10_20_24_05_384.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_384.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_384.jpg, 0, 0.9719326, 0, 1.949759
D:\DL\IMG\center_2024_03_10_20_24_05_486.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_486.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_486.jpg, 0, 1, 0, 3.138902
D:\DL\IMG\center_2024_03_10_20_24_05_588.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_588.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_588.jpg, 0, 1, 0, 4.313658
D:\DL\IMG\center_2024_03_10_20_24_05_688.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_688.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_688.jpg, 0, 1, 0, 5.476266
D:\DL\IMG\center_2024_03_10_20_24_05_803.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_803.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_803.jpg, 0, 1, 0, 6.856667
D:\DL\IMG\center_2024_03_10_20_24_05_905.jpg, D:\DL\IMG\left_2024_03_10_20_24_05_905.jpg, D:\DL\IMG\right_2024_03_10_20_24_05_905.jpg, -0.0382308, 1, 0, 7.994443
D:\DL\IMG\center_2024_03_10_20_24_06_006.jpg, D:\DL\IMG\left_2024_03_10_20_24_06_006.jpg, D:\DL\IMG\right_2024_03_10_20_24_06_006.jpg, -0.3382733, 1, 0, 9.091054
D:\DL\IMG\center_2024_03_10_20_24_06_106.jpg, D:\DL\IMG\left_2024_03_10_20_24_06_106.jpg, D:\DL\IMG\right_2024_03_10_20_24_06_106.jpg, -0.1100561, 1, 0, 10.19932
